Frame:	Label:	Points:	Bounding Box ID:	Frame path: data3/kinshi-egg
13	table	(0,112,101,142)	29	13.jpg
13	stove	(103,112,154,123)	30	13.jpg
13	shell_egg	(61,219,21,21)	7	13.jpg
13	oil_bottle	(0,153,33,48)	24	13.jpg
13	knife	(28,103,30,70)	22	13.jpg
13	cutting_board	(10,113,54,60)	19	13.jpg
13	bowl	(56,114,43,42)	17	13.jpg
13	frying_pan	(96,90,83,100)	14	13.jpg
14	table	(0,112,101,142)	29	14.jpg
14	stove	(103,112,154,123)	30	14.jpg
14	shell_egg	(61,219,21,21)	7	14.jpg
14	oil_bottle	(0,153,33,48)	24	14.jpg
14	knife	(28,103,30,70)	22	14.jpg
14	cutting_board	(10,113,54,60)	19	14.jpg
14	bowl	(56,114,43,42)	17	14.jpg
14	frying_pan	(96,90,83,100)	14	14.jpg
15	table	(0,112,101,142)	29	15.jpg
15	stove	(103,112,154,123)	30	15.jpg
15	shell_egg	(61,219,21,21)	7	15.jpg
15	oil_bottle	(0,153,33,48)	24	15.jpg
15	knife	(28,103,30,70)	22	15.jpg
15	cutting_board	(10,113,54,60)	19	15.jpg
15	bowl	(56,114,43,42)	17	15.jpg
15	frying_pan	(96,90,83,100)	14	15.jpg
16	table	(0,112,101,142)	29	16.jpg
16	stove	(103,112,154,123)	30	16.jpg
16	shell_egg	(61,219,21,21)	7	16.jpg
16	oil_bottle	(0,153,33,48)	24	16.jpg
16	knife	(28,103,30,70)	22	16.jpg
16	cutting_board	(10,113,54,60)	19	16.jpg
16	bowl	(56,114,43,42)	17	16.jpg
16	frying_pan	(96,90,83,100)	14	16.jpg
17	table	(0,112,101,142)	29	17.jpg
17	stove	(103,112,154,123)	30	17.jpg
17	shell_egg	(61,219,21,21)	7	17.jpg
17	oil_bottle	(0,153,33,48)	24	17.jpg
17	knife	(28,103,30,70)	22	17.jpg
17	cutting_board	(10,113,54,60)	19	17.jpg
17	bowl	(56,114,43,42)	17	17.jpg
17	frying_pan	(96,90,83,100)	14	17.jpg
18	table	(0,112,101,142)	29	18.jpg
18	stove	(103,112,154,123)	30	18.jpg
18	shell_egg	(61,219,21,21)	7	18.jpg
18	oil_bottle	(0,153,33,48)	24	18.jpg
18	knife	(28,103,30,70)	22	18.jpg
18	cutting_board	(10,113,54,60)	19	18.jpg
18	bowl	(56,114,43,42)	17	18.jpg
18	frying_pan	(96,90,83,100)	14	18.jpg
19	table	(0,112,101,142)	29	19.jpg
19	stove	(103,112,154,123)	30	19.jpg
19	shell_egg	(61,219,21,21)	7	19.jpg
19	oil_bottle	(0,153,33,48)	24	19.jpg
19	knife	(28,103,30,70)	22	19.jpg
19	cutting_board	(10,113,54,60)	19	19.jpg
19	bowl	(56,114,43,42)	17	19.jpg
19	frying_pan	(96,90,83,100)	14	19.jpg
20	table	(0,112,101,142)	29	20.jpg
20	stove	(103,112,154,123)	30	20.jpg
20	shell_egg	(61,219,21,21)	7	20.jpg
20	oil_bottle	(0,153,33,48)	24	20.jpg
20	knife	(28,103,30,70)	22	20.jpg
20	cutting_board	(10,113,54,60)	19	20.jpg
20	bowl	(56,114,43,42)	17	20.jpg
20	frying_pan	(96,90,83,100)	14	20.jpg
21	table	(0,112,101,142)	29	21.jpg
21	stove	(103,112,154,123)	30	21.jpg
21	shell_egg	(61,219,21,21)	7	21.jpg
21	oil_bottle	(0,153,33,48)	24	21.jpg
21	knife	(28,103,30,70)	22	21.jpg
21	cutting_board	(10,113,54,60)	19	21.jpg
21	bowl	(56,114,43,42)	17	21.jpg
21	frying_pan	(96,90,83,100)	14	21.jpg
22	table	(0,112,101,142)	29	22.jpg
22	stove	(103,112,154,123)	30	22.jpg
22	shell_egg	(61,219,21,21)	7	22.jpg
22	oil_bottle	(0,153,33,48)	24	22.jpg
22	knife	(28,103,30,70)	22	22.jpg
22	cutting_board	(10,113,54,60)	19	22.jpg
22	bowl	(56,114,43,42)	17	22.jpg
22	frying_pan	(96,90,83,100)	14	22.jpg
23	table	(0,112,101,142)	29	23.jpg
23	stove	(103,112,154,123)	30	23.jpg
23	shell_egg	(61,219,21,21)	7	23.jpg
23	oil_bottle	(0,153,33,48)	24	23.jpg
23	knife	(28,103,30,70)	22	23.jpg
23	cutting_board	(10,113,54,60)	19	23.jpg
23	bowl	(56,114,43,42)	17	23.jpg
23	frying_pan	(96,90,83,100)	14	23.jpg
24	table	(0,112,101,142)	29	24.jpg
24	stove	(103,112,154,123)	30	24.jpg
24	shell_egg	(61,219,21,21)	7	24.jpg
24	oil_bottle	(0,153,33,48)	24	24.jpg
24	knife	(28,103,30,70)	22	24.jpg
24	cutting_board	(10,113,54,60)	19	24.jpg
24	bowl	(56,114,43,42)	17	24.jpg
24	frying_pan	(96,90,83,100)	14	24.jpg
25	table	(0,112,101,142)	29	25.jpg
25	stove	(103,112,154,123)	30	25.jpg
25	shell_egg	(61,219,21,21)	7	25.jpg
25	oil_bottle	(0,153,33,48)	24	25.jpg
25	knife	(28,103,30,70)	22	25.jpg
25	cutting_board	(10,113,54,60)	19	25.jpg
25	bowl	(56,114,43,42)	17	25.jpg
25	frying_pan	(96,90,83,100)	14	25.jpg
26	table	(0,112,101,142)	29	26.jpg
26	stove	(103,112,154,123)	30	26.jpg
26	shell_egg	(61,219,21,21)	7	26.jpg
26	oil_bottle	(0,153,33,48)	24	26.jpg
26	knife	(28,103,30,70)	22	26.jpg
26	cutting_board	(10,113,54,60)	19	26.jpg
26	bowl	(56,114,43,42)	17	26.jpg
26	frying_pan	(96,90,83,100)	14	26.jpg
27	table	(0,112,101,142)	29	27.jpg
27	stove	(103,112,154,123)	30	27.jpg
27	shell_egg	(61,219,21,21)	7	27.jpg
27	oil_bottle	(0,153,33,48)	24	27.jpg
27	knife	(28,103,30,70)	22	27.jpg
27	cutting_board	(10,113,54,60)	19	27.jpg
27	bowl	(56,114,43,42)	17	27.jpg
27	frying_pan	(96,90,83,100)	14	27.jpg
28	table	(0,112,101,142)	29	28.jpg
28	stove	(103,112,154,123)	30	28.jpg
28	shell_egg	(61,219,21,21)	7	28.jpg
28	oil_bottle	(0,153,33,48)	24	28.jpg
28	knife	(28,103,30,70)	22	28.jpg
28	cutting_board	(10,113,54,60)	19	28.jpg
28	bowl	(56,114,43,42)	17	28.jpg
28	frying_pan	(96,90,83,100)	14	28.jpg
29	table	(0,112,101,142)	29	29.jpg
29	stove	(103,112,154,123)	30	29.jpg
29	shell_egg	(61,219,21,21)	7	29.jpg
29	oil_bottle	(0,153,33,48)	24	29.jpg
29	knife	(28,103,30,70)	22	29.jpg
29	cutting_board	(10,113,54,60)	19	29.jpg
29	bowl	(56,114,43,42)	17	29.jpg
29	frying_pan	(96,90,83,100)	14	29.jpg
30	table	(0,112,101,142)	29	30.jpg
30	stove	(103,112,154,123)	30	30.jpg
30	shell_egg	(61,219,21,21)	7	30.jpg
30	oil_bottle	(0,153,33,48)	24	30.jpg
30	knife	(28,103,30,70)	22	30.jpg
30	cutting_board	(10,113,54,60)	19	30.jpg
30	bowl	(56,114,43,42)	17	30.jpg
30	frying_pan	(96,90,83,100)	14	30.jpg
31	table	(0,112,101,142)	29	31.jpg
31	stove	(103,112,154,123)	30	31.jpg
31	shell_egg	(61,219,21,21)	7	31.jpg
31	oil_bottle	(0,153,33,48)	24	31.jpg
31	knife	(28,103,30,70)	22	31.jpg
31	cutting_board	(10,113,54,60)	19	31.jpg
31	bowl	(56,114,43,42)	17	31.jpg
31	frying_pan	(96,90,83,100)	14	31.jpg
32	table	(0,112,101,142)	29	32.jpg
32	stove	(103,112,154,123)	30	32.jpg
32	shell_egg	(61,219,21,21)	7	32.jpg
32	oil_bottle	(0,153,33,48)	24	32.jpg
32	knife	(28,103,30,70)	22	32.jpg
32	cutting_board	(10,113,54,60)	19	32.jpg
32	bowl	(56,114,43,42)	17	32.jpg
32	frying_pan	(96,90,83,100)	14	32.jpg
33	table	(0,112,101,142)	29	33.jpg
33	stove	(103,112,154,123)	30	33.jpg
33	shell_egg	(61,219,21,21)	7	33.jpg
33	oil_bottle	(0,153,33,48)	24	33.jpg
33	knife	(28,103,30,70)	22	33.jpg
33	cutting_board	(10,113,54,60)	19	33.jpg
33	bowl	(56,114,43,42)	17	33.jpg
33	frying_pan	(96,90,83,100)	14	33.jpg
34	table	(0,112,101,142)	29	34.jpg
34	stove	(103,112,154,123)	30	34.jpg
34	shell_egg	(61,219,21,21)	7	34.jpg
34	oil_bottle	(0,153,33,48)	24	34.jpg
34	knife	(28,103,30,70)	22	34.jpg
34	cutting_board	(10,113,54,60)	19	34.jpg
34	bowl	(56,114,43,42)	17	34.jpg
34	frying_pan	(96,90,83,100)	14	34.jpg
35	table	(0,112,101,142)	29	35.jpg
35	stove	(103,112,154,123)	30	35.jpg
35	shell_egg	(61,219,21,21)	7	35.jpg
35	oil_bottle	(0,153,33,48)	24	35.jpg
35	knife	(28,103,30,70)	22	35.jpg
35	cutting_board	(10,113,54,60)	19	35.jpg
35	bowl	(56,114,43,42)	17	35.jpg
35	frying_pan	(96,90,83,100)	14	35.jpg
36	table	(0,112,101,142)	29	36.jpg
36	stove	(103,112,154,123)	30	36.jpg
36	shell_egg	(61,219,21,21)	7	36.jpg
36	oil_bottle	(0,153,33,48)	24	36.jpg
36	knife	(28,103,30,70)	22	36.jpg
36	cutting_board	(10,113,54,60)	19	36.jpg
36	bowl	(56,114,43,42)	17	36.jpg
36	frying_pan	(96,90,83,100)	14	36.jpg
37	table	(0,112,101,142)	29	37.jpg
37	stove	(103,112,154,123)	30	37.jpg
37	shell_egg	(61,219,21,21)	7	37.jpg
37	oil_bottle	(0,153,33,48)	24	37.jpg
37	knife	(28,103,30,70)	22	37.jpg
37	cutting_board	(10,113,54,60)	19	37.jpg
37	bowl	(56,114,43,42)	17	37.jpg
37	frying_pan	(96,90,83,100)	14	37.jpg
38	table	(0,112,101,142)	29	38.jpg
38	stove	(103,112,154,123)	30	38.jpg
38	shell_egg	(61,219,21,21)	7	38.jpg
38	oil_bottle	(0,153,33,48)	24	38.jpg
38	knife	(28,103,30,70)	22	38.jpg
38	cutting_board	(10,113,54,60)	19	38.jpg
38	bowl	(56,114,43,42)	17	38.jpg
38	frying_pan	(96,90,83,100)	14	38.jpg
39	table	(0,112,101,142)	29	39.jpg
39	stove	(103,112,154,123)	30	39.jpg
39	shell_egg	(61,219,21,21)	7	39.jpg
39	oil_bottle	(0,153,33,48)	24	39.jpg
39	knife	(28,103,30,70)	22	39.jpg
39	cutting_board	(10,113,54,60)	19	39.jpg
39	bowl	(56,114,43,42)	17	39.jpg
39	frying_pan	(96,90,83,100)	14	39.jpg
40	table	(0,112,101,142)	29	40.jpg
40	stove	(103,112,154,123)	30	40.jpg
40	shell_egg	(61,219,21,21)	7	40.jpg
40	oil_bottle	(0,153,33,48)	24	40.jpg
40	knife	(28,103,30,70)	22	40.jpg
40	cutting_board	(10,113,54,60)	19	40.jpg
40	bowl	(56,114,43,42)	17	40.jpg
40	frying_pan	(96,90,83,100)	14	40.jpg
41	table	(0,112,101,142)	29	41.jpg
41	stove	(103,112,154,123)	30	41.jpg
41	shell_egg	(61,219,21,21)	7	41.jpg
41	oil_bottle	(0,153,33,48)	24	41.jpg
41	knife	(28,103,30,70)	22	41.jpg
41	cutting_board	(10,113,54,60)	19	41.jpg
41	bowl	(56,114,43,42)	17	41.jpg
41	frying_pan	(96,90,83,100)	14	41.jpg
42	table	(0,112,101,142)	29	42.jpg
42	stove	(103,112,154,123)	30	42.jpg
42	shell_egg	(61,219,21,21)	7	42.jpg
42	oil_bottle	(0,153,33,48)	24	42.jpg
42	knife	(28,103,30,70)	22	42.jpg
42	cutting_board	(10,113,54,60)	19	42.jpg
42	bowl	(56,114,43,42)	17	42.jpg
42	frying_pan	(96,90,83,100)	14	42.jpg
43	table	(0,112,101,142)	29	43.jpg
43	stove	(103,112,154,123)	30	43.jpg
43	shell_egg	(61,219,21,21)	7	43.jpg
43	oil_bottle	(0,153,33,48)	24	43.jpg
43	knife	(28,103,30,70)	22	43.jpg
43	cutting_board	(10,113,54,60)	19	43.jpg
43	bowl	(56,114,43,42)	17	43.jpg
43	frying_pan	(96,90,83,100)	14	43.jpg
44	table	(0,112,101,142)	29	44.jpg
44	stove	(103,112,154,123)	30	44.jpg
44	shell_egg	(61,219,21,21)	7	44.jpg
44	oil_bottle	(0,153,33,48)	24	44.jpg
44	knife	(28,103,30,70)	22	44.jpg
44	cutting_board	(10,113,54,60)	19	44.jpg
44	bowl	(56,114,43,42)	17	44.jpg
44	frying_pan	(96,90,83,100)	14	44.jpg
45	table	(0,112,101,142)	29	45.jpg
45	stove	(103,112,154,123)	30	45.jpg
45	shell_egg	(61,219,21,21)	7	45.jpg
45	oil_bottle	(0,153,33,48)	24	45.jpg
45	knife	(28,103,30,70)	22	45.jpg
45	cutting_board	(10,113,54,60)	19	45.jpg
45	bowl	(56,114,43,42)	17	45.jpg
45	frying_pan	(96,90,83,100)	14	45.jpg
46	table	(0,112,101,142)	29	46.jpg
46	stove	(103,112,154,123)	30	46.jpg
46	shell_egg	(61,219,21,21)	7	46.jpg
46	oil_bottle	(0,153,33,48)	24	46.jpg
46	knife	(28,103,30,70)	22	46.jpg
46	cutting_board	(10,113,54,60)	19	46.jpg
46	bowl	(56,114,43,42)	17	46.jpg
46	frying_pan	(96,90,83,100)	14	46.jpg
47	table	(0,112,101,142)	29	47.jpg
47	stove	(103,112,154,123)	30	47.jpg
47	shell_egg	(61,219,21,21)	7	47.jpg
47	oil_bottle	(0,153,33,48)	24	47.jpg
47	knife	(28,103,30,70)	22	47.jpg
47	cutting_board	(10,113,54,60)	19	47.jpg
47	bowl	(56,114,43,42)	17	47.jpg
47	frying_pan	(96,90,83,100)	14	47.jpg
48	table	(0,112,101,142)	29	48.jpg
48	stove	(103,112,154,123)	30	48.jpg
48	shell_egg	(61,219,21,21)	7	48.jpg
48	oil_bottle	(0,153,33,48)	24	48.jpg
48	knife	(28,103,30,70)	22	48.jpg
48	cutting_board	(10,113,54,60)	19	48.jpg
48	bowl	(56,114,43,42)	17	48.jpg
48	frying_pan	(96,90,83,100)	14	48.jpg
49	table	(0,112,101,142)	29	49.jpg
49	stove	(103,112,154,123)	30	49.jpg
49	shell_egg	(61,219,21,21)	7	49.jpg
49	oil_bottle	(0,153,33,48)	24	49.jpg
49	knife	(28,103,30,70)	22	49.jpg
49	cutting_board	(10,113,54,60)	19	49.jpg
49	bowl	(56,114,43,42)	17	49.jpg
49	frying_pan	(96,90,83,100)	14	49.jpg
50	table	(0,112,101,142)	29	50.jpg
50	stove	(103,112,154,123)	30	50.jpg
50	shell_egg	(61,219,21,21)	7	50.jpg
50	oil_bottle	(0,153,33,48)	24	50.jpg
50	knife	(28,103,30,70)	22	50.jpg
50	cutting_board	(10,113,54,60)	19	50.jpg
50	bowl	(56,114,43,42)	17	50.jpg
50	frying_pan	(96,90,83,100)	14	50.jpg
51	table	(0,112,101,142)	29	51.jpg
51	stove	(103,112,154,123)	30	51.jpg
51	shell_egg	(61,219,21,21)	7	51.jpg
51	oil_bottle	(0,153,33,48)	24	51.jpg
51	knife	(28,103,30,70)	22	51.jpg
51	cutting_board	(10,113,54,60)	19	51.jpg
51	bowl	(56,114,43,42)	17	51.jpg
51	frying_pan	(96,90,83,100)	14	51.jpg
52	table	(0,112,101,142)	29	52.jpg
52	stove	(103,112,154,123)	30	52.jpg
52	shell_egg	(61,219,21,21)	7	52.jpg
52	oil_bottle	(0,153,33,48)	24	52.jpg
52	knife	(28,103,30,70)	22	52.jpg
52	cutting_board	(10,113,54,60)	19	52.jpg
52	bowl	(56,114,43,42)	17	52.jpg
52	frying_pan	(96,90,83,100)	14	52.jpg
53	table	(0,112,101,142)	29	53.jpg
53	stove	(103,112,154,123)	30	53.jpg
53	shell_egg	(61,219,21,21)	7	53.jpg
53	oil_bottle	(0,153,33,48)	24	53.jpg
53	knife	(28,103,30,70)	22	53.jpg
53	cutting_board	(10,113,54,60)	19	53.jpg
53	bowl	(56,114,43,42)	17	53.jpg
53	frying_pan	(96,90,83,100)	14	53.jpg
54	table	(0,112,101,142)	29	54.jpg
54	stove	(103,112,154,123)	30	54.jpg
54	shell_egg	(61,219,21,21)	7	54.jpg
54	oil_bottle	(0,153,33,48)	24	54.jpg
54	knife	(28,103,30,70)	22	54.jpg
54	cutting_board	(10,113,54,60)	19	54.jpg
54	bowl	(56,114,43,42)	17	54.jpg
54	frying_pan	(96,90,83,100)	14	54.jpg
55	table	(0,112,101,142)	29	55.jpg
55	stove	(103,112,154,123)	30	55.jpg
55	shell_egg	(61,219,21,21)	7	55.jpg
55	oil_bottle	(0,153,33,48)	24	55.jpg
55	knife	(28,103,30,70)	22	55.jpg
55	cutting_board	(10,113,54,60)	19	55.jpg
55	bowl	(56,114,43,42)	17	55.jpg
55	frying_pan	(96,90,83,100)	14	55.jpg
56	table	(0,112,101,142)	29	56.jpg
56	stove	(103,112,154,123)	30	56.jpg
56	shell_egg	(61,219,21,21)	7	56.jpg
56	oil_bottle	(0,153,33,48)	24	56.jpg
56	knife	(28,103,30,70)	22	56.jpg
56	cutting_board	(10,113,54,60)	19	56.jpg
56	bowl	(56,114,43,42)	17	56.jpg
56	frying_pan	(96,90,83,100)	14	56.jpg
57	table	(0,112,101,142)	29	57.jpg
57	stove	(103,112,154,123)	30	57.jpg
57	shell_egg	(61,219,21,21)	7	57.jpg
57	oil_bottle	(0,153,33,48)	24	57.jpg
57	knife	(28,103,30,70)	22	57.jpg
57	cutting_board	(10,113,54,60)	19	57.jpg
57	bowl	(56,114,43,42)	17	57.jpg
57	frying_pan	(96,90,83,100)	14	57.jpg
58	table	(0,112,101,142)	29	58.jpg
58	stove	(103,112,154,123)	30	58.jpg
58	shell_egg	(61,219,21,21)	7	58.jpg
58	oil_bottle	(0,153,33,48)	24	58.jpg
58	knife	(28,103,30,70)	22	58.jpg
58	cutting_board	(10,113,54,60)	19	58.jpg
58	bowl	(56,114,43,42)	17	58.jpg
58	frying_pan	(96,90,83,100)	14	58.jpg
59	table	(0,112,101,142)	29	59.jpg
59	stove	(103,112,154,123)	30	59.jpg
59	shell_egg	(61,219,21,21)	7	59.jpg
59	oil_bottle	(0,153,33,48)	24	59.jpg
59	knife	(28,103,30,70)	22	59.jpg
59	cutting_board	(10,113,54,60)	19	59.jpg
59	bowl	(56,114,43,42)	17	59.jpg
59	frying_pan	(96,90,83,100)	14	59.jpg
60	table	(0,112,101,142)	29	60.jpg
60	stove	(103,112,154,123)	30	60.jpg
60	shell_egg	(61,219,21,21)	7	60.jpg
60	oil_bottle	(0,153,33,48)	24	60.jpg
60	knife	(28,103,30,70)	22	60.jpg
60	cutting_board	(10,113,54,60)	19	60.jpg
60	bowl	(56,114,43,42)	17	60.jpg
60	frying_pan	(96,90,83,100)	14	60.jpg
61	table	(0,112,101,142)	29	61.jpg
61	stove	(103,112,154,123)	30	61.jpg
61	shell_egg	(61,219,21,21)	7	61.jpg
61	oil_bottle	(0,153,33,48)	24	61.jpg
61	knife	(28,103,30,70)	22	61.jpg
61	cutting_board	(10,113,54,60)	19	61.jpg
61	bowl	(56,114,43,42)	17	61.jpg
61	frying_pan	(96,90,83,100)	14	61.jpg
62	table	(0,112,101,142)	29	62.jpg
62	stove	(103,112,154,123)	30	62.jpg
62	shell_egg	(61,219,21,21)	7	62.jpg
62	oil_bottle	(0,153,33,48)	24	62.jpg
62	knife	(28,103,30,70)	22	62.jpg
62	cutting_board	(10,113,54,60)	19	62.jpg
62	bowl	(56,114,43,42)	17	62.jpg
62	frying_pan	(96,90,83,100)	14	62.jpg
63	table	(0,112,101,142)	29	63.jpg
63	stove	(103,112,154,123)	30	63.jpg
63	shell_egg	(61,219,21,21)	7	63.jpg
63	oil_bottle	(0,153,33,48)	24	63.jpg
63	knife	(28,103,30,70)	22	63.jpg
63	cutting_board	(10,113,54,60)	19	63.jpg
63	bowl	(56,114,43,42)	17	63.jpg
63	frying_pan	(96,90,83,100)	14	63.jpg
64	table	(0,112,101,142)	29	64.jpg
64	stove	(103,112,154,123)	30	64.jpg
64	shell_egg	(61,219,21,21)	7	64.jpg
64	oil_bottle	(0,153,33,48)	24	64.jpg
64	knife	(28,103,30,70)	22	64.jpg
64	cutting_board	(10,113,54,60)	19	64.jpg
64	bowl	(56,114,43,42)	17	64.jpg
64	frying_pan	(96,90,83,100)	14	64.jpg
65	table	(0,112,101,142)	29	65.jpg
65	stove	(103,112,154,123)	30	65.jpg
65	shell_egg	(61,219,21,21)	7	65.jpg
65	oil_bottle	(0,153,33,48)	24	65.jpg
65	knife	(28,103,30,70)	22	65.jpg
65	cutting_board	(10,113,54,60)	19	65.jpg
65	bowl	(56,114,43,42)	17	65.jpg
65	frying_pan	(96,90,83,100)	14	65.jpg
66	table	(0,112,101,142)	29	66.jpg
66	stove	(103,112,154,123)	30	66.jpg
66	shell_egg	(61,219,21,21)	7	66.jpg
66	oil_bottle	(0,153,33,48)	24	66.jpg
66	knife	(28,103,30,70)	22	66.jpg
66	cutting_board	(10,113,54,60)	19	66.jpg
66	bowl	(56,114,43,42)	17	66.jpg
66	frying_pan	(96,90,83,100)	14	66.jpg
67	table	(0,112,101,142)	29	67.jpg
67	stove	(103,112,154,123)	30	67.jpg
67	shell_egg	(61,219,21,21)	7	67.jpg
67	oil_bottle	(0,153,33,48)	24	67.jpg
67	knife	(28,103,30,70)	22	67.jpg
67	cutting_board	(10,113,54,60)	19	67.jpg
67	bowl	(56,114,43,42)	17	67.jpg
67	frying_pan	(96,90,83,100)	14	67.jpg
68	table	(0,112,101,142)	29	68.jpg
68	stove	(103,112,154,123)	30	68.jpg
68	shell_egg	(61,219,21,21)	7	68.jpg
68	oil_bottle	(0,153,33,48)	24	68.jpg
68	knife	(28,103,30,70)	22	68.jpg
68	cutting_board	(10,113,54,60)	19	68.jpg
68	bowl	(56,114,43,42)	17	68.jpg
68	frying_pan	(96,90,83,100)	14	68.jpg
69	table	(0,112,101,142)	29	69.jpg
69	stove	(103,112,154,123)	30	69.jpg
69	shell_egg	(61,219,21,21)	7	69.jpg
69	oil_bottle	(0,153,33,48)	24	69.jpg
69	knife	(28,103,30,70)	22	69.jpg
69	cutting_board	(10,113,54,60)	19	69.jpg
69	bowl	(56,114,43,42)	17	69.jpg
69	frying_pan	(96,90,83,100)	14	69.jpg
70	table	(0,112,101,142)	29	70.jpg
70	stove	(103,112,154,123)	30	70.jpg
70	shell_egg	(61,219,21,21)	7	70.jpg
70	oil_bottle	(0,153,33,48)	24	70.jpg
70	knife	(28,103,30,70)	22	70.jpg
